subject,task,n_epochs_before_rejection,n_epochs_after_rejection,n_rejected,rejection_rate,n_standards,n_deviants,sfreq,n_channels
sub-001,MMN,985,842,143,0.14517766497461929,675,167,256.0,33
sub-002,MMN,819,810,9,0.01098901098901099,646,164,256.0,33
sub-003,MMN,985,920,65,0.06598984771573604,734,186,256.0,33
sub-004,MMN,985,972,13,0.013197969543147208,772,200,256.0,33
sub-005,MMN,985,948,37,0.03756345177664975,757,191,256.0,33
sub-006,MMN,985,810,175,0.17766497461928935,641,169,256.0,33
sub-007,MMN,985,144,841,0.8538071065989847,118,26,256.0,33
sub-008,MMN,985,901,84,0.08527918781725888,726,175,256.0,33
sub-009,MMN,985,976,9,0.009137055837563452,779,197,256.0,33
sub-010,MMN,985,895,90,0.09137055837563451,714,181,256.0,33
sub-011,MMN,985,935,50,0.050761421319796954,749,186,256.0,33
sub-013,MMN,985,978,7,0.007106598984771574,779,199,256.0,33
sub-014,MMN,985,959,26,0.026395939086294416,762,197,256.0,33
sub-015,MMN,985,977,8,0.008121827411167513,778,199,256.0,33
sub-016,MMN,985,975,10,0.01015228426395939,776,199,256.0,33
sub-017,MMN,985,982,3,0.003045685279187817,782,200,256.0,33
sub-018,MMN,985,882,103,0.10456852791878173,704,178,256.0,33
sub-019,MMN,985,985,0,0.0,785,200,256.0,33
sub-020,MMN,985,967,18,0.018274111675126905,769,198,256.0,33
sub-021,MMN,985,983,2,0.0020304568527918783,784,199,256.0,33
sub-022,MMN,985,964,21,0.02131979695431472,770,194,256.0,33
sub-023,MMN,985,976,9,0.009137055837563452,780,196,256.0,33
sub-024,MMN,985,970,15,0.015228426395939087,775,195,256.0,33
sub-025,MMN,985,850,135,0.13705583756345177,673,177,256.0,33
sub-026,MMN,985,973,12,0.012182741116751269,774,199,256.0,33
sub-027,MMN,985,956,29,0.029441624365482234,760,196,256.0,33
sub-028,MMN,985,982,3,0.003045685279187817,782,200,256.0,33
sub-029,MMN,985,913,72,0.07309644670050762,724,189,256.0,33
sub-030,MMN,985,782,203,0.20609137055837565,631,151,256.0,33
sub-031,MMN,985,979,6,0.006091370558375634,779,200,256.0,33
sub-032,MMN,985,971,14,0.014213197969543147,777,194,256.0,33
sub-033,MMN,985,984,1,0.0010152284263959391,784,200,256.0,33
sub-034,MMN,985,952,33,0.03350253807106599,757,195,256.0,33
sub-035,MMN,985,975,10,0.01015228426395939,778,197,256.0,33
sub-036,MMN,985,979,6,0.006091370558375634,780,199,256.0,33
sub-037,MMN,985,957,28,0.028426395939086295,761,196,256.0,33
sub-038,MMN,985,948,37,0.03756345177664975,756,192,256.0,33
sub-039,MMN,985,573,412,0.4182741116751269,450,123,256.0,33
sub-040,MMN,983,951,32,0.03255340793489318,757,194,256.0,33
